City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
59,Sulangan,PH,82.49,overcast clouds,11.1373,123.7228,Maia's Beach Resort
62,Arlit,NE,83.3,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
69,Meulaboh,ID,76.26,moderate rain,4.1363,96.1285,Kost Pria
72,Coffs Harbour,AU,73.36,scattered clouds,-30.3,153.1333,Aquajet Motel
74,Victoria,HK,72.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
76,Sola,VU,77.67,broken clouds,-13.8833,167.55,Leumerus Bungalows
77,Tabuk,PH,72.91,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
78,Vila Velha,BR,71.55,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
86,Prado,BR,79.83,light rain,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
87,Ende,ID,79.52,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
88,Narrabri,AU,68.09,overcast clouds,-30.3167,149.7833,Crossroads Hotel
89,Hamilton,US,70.03,moderate rain,39.1834,-84.5333,Six Acres Bed & Breakfast
95,Madang,PG,75.38,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
105,Itarema,BR,84.92,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
106,Sakete,BJ,83.34,overcast clouds,6.7362,2.6587,IBUKUN OLUWA
109,Rio Grande,BR,73.51,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
115,Nam Som,TH,74.03,overcast clouds,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
120,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
121,Tual,ID,84.45,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
123,Ewa Beach,US,79.02,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
124,Ribeira Grande,PT,70.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
126,Atar,MR,81.32,overcast clouds,20.5169,-13.0499,Oumou Elghoura
131,Omboue,GA,76.42,overcast clouds,-1.5746,9.2618,Hotel Olako
132,Waingapu,ID,79.9,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
133,Lakota,CI,74.05,light rain,5.8528,-5.6883,Aziz bah divers
134,Gondanglegi,ID,75.18,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
135,Dingle,PH,76.17,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
136,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
137,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
138,Ambilobe,MG,77.0,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
139,Faanui,PF,79.34,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
147,De Aar,ZA,75.42,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
149,Isangel,VU,73.51,broken clouds,-19.55,169.2667,Tanna Lodge
155,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
156,Katherine,AU,82.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
159,Ixtapa,MX,83.43,clear sky,20.7,-105.2,Hotel Plaza Providencia
161,Saint George,US,68.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
163,Mareeba,AU,75.92,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
164,Cap Malheureux,MU,76.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
165,Gemena,CD,71.65,overcast clouds,3.25,19.7667,Hôtel Goshen
166,Lompoc,US,83.41,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
167,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
170,Catuday,PH,79.43,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
175,Vao,NC,73.94,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
176,Neuquen,AR,82.29,scattered clouds,-38.9516,-68.0591,Hotel del Comahue
178,Kontagora,NG,84.02,broken clouds,10.3999,5.4695,Queens Guest Inn
179,Ouango,CF,70.7,light rain,4.3133,22.5552,
180,Saint-Pierre,RE,74.88,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
188,Arraial Do Cabo,BR,73.26,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
192,Banda Aceh,ID,77.92,light rain,5.5577,95.3222,Sulthan Hotel International
197,Kavieng,PG,81.0,light rain,-2.5744,150.7967,Nusa Island Retreat
198,Lima,PE,69.13,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
202,Dubai,AE,80.53,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
214,New Iberia,US,82.98,clear sky,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
216,Mogadishu,SO,80.64,overcast clouds,2.0371,45.3438,Hotel Juba
217,Namibe,AO,68.09,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
221,Hithadhoo,MV,82.71,broken clouds,-0.6,73.0833,Scoop Guest House
223,Sao Sebastiao,BR,68.2,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
228,Caravelas,BR,78.62,light rain,-17.7125,-39.2481,Pousada dos Navegantes
236,Butaritari,KI,82.6,few clouds,3.0707,172.7902,Isles Sunset Lodge
243,Bucarasica,CO,74.3,broken clouds,8.041,-72.8654,ALTOS DEL BALCÓN
244,Vila Franca Do Campo,PT,70.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
247,Adrar,MR,77.16,overcast clouds,20.5022,-10.0711,
248,Vanimo,PG,77.32,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
253,Samarai,PG,82.56,scattered clouds,-10.6167,150.6667,Nuli Sapi
257,Sechura,PE,73.78,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
259,Mangai,CD,73.94,broken clouds,-4.05,19.5333,
262,Safaga,EG,73.35,overcast clouds,26.7292,33.9365,Lamar Resort Abu Soma
265,Bonthe,SL,80.17,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
268,Sao Filipe,CV,77.09,few clouds,14.8961,-24.4956,Hotel Xaguate
269,Sao Jose Da Coroa Grande,BR,81.81,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
271,Campos Belos,BR,78.8,overcast clouds,-13.0367,-46.7717,Pousada Carnaúba
